
Memória GPU alocada: 5.20 MB, reservada: 22.00 MB
/home/lpc/Downloads/prototypical-networks/prototypical-networks/fslenv/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:216: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(

Epoch 1 train:   1%|█▋                                                                                                                                                                   | 1/100 [00:40<1:06:12, 40.12s/it]

Epoch 1 train:   2%|███▎                                                                                                                                                                   | 2/100 [01:05<50:55, 31.18s/it]
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB

Epoch 1 train:   3%|█████                                                                                                                                                                  | 3/100 [01:13<33:16, 20.58s/it]
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB

Epoch 1 train:   4%|██████▌                                                                                                                                                              | 4/100 [03:08<1:33:06, 58.20s/it]
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB

Epoch 1 train:   6%|██████████                                                                                                                                                             | 6/100 [03:11<43:51, 27.99s/it]
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
Memória GPU alocada: 21.13 MB, reservada: 396.00 MB
