2024-09-16 19:48:01,131 INFO    SenderThread:594885 [sender.py:_save_file():1466] saving file wandb-summary.json with policy end
2024-09-16 19:48:01,131 INFO    SenderThread:594885 [sender.py:send_exit():606] send defer
2024-09-16 19:48:01,131 DEBUG   HandlerThread:594885 [handler.py:handle_request():158] handle_request: defer
2024-09-16 19:48:01,131 INFO    HandlerThread:594885 [handler.py:handle_request_defer():184] handle defer: 0
2024-09-16 19:48:01,132 DEBUG   SenderThread:594885 [sender.py:send_request():418] send_request: defer
2024-09-16 19:48:01,132 INFO    SenderThread:594885 [sender.py:send_request_defer():622] handle sender defer: 0
2024-09-16 19:48:01,132 INFO    SenderThread:594885 [sender.py:transition_state():626] send defer: 1
2024-09-16 19:48:01,132 DEBUG   HandlerThread:594885 [handler.py:handle_request():158] handle_request: defer
2024-09-16 19:48:01,132 INFO    HandlerThread:594885 [handler.py:handle_request_defer():184] handle defer: 1
2024-09-16 19:48:01,132 DEBUG   SenderThread:594885 [sender.py:send_request():418] send_request: defer
2024-09-16 19:48:01,132 INFO    SenderThread:594885 [sender.py:send_request_defer():622] handle sender defer: 1
2024-09-16 19:48:01,132 INFO    SenderThread:594885 [sender.py:transition_state():626] send defer: 2
2024-09-16 19:48:01,132 DEBUG   HandlerThread:594885 [handler.py:handle_request():158] handle_request: defer
2024-09-16 19:48:01,132 INFO    HandlerThread:594885 [handler.py:handle_request_defer():184] handle defer: 2
2024-09-16 19:48:01,132 INFO    HandlerThread:594885 [system_monitor.py:finish():203] Stopping system monitor
2024-09-16 19:48:01,133 DEBUG   SystemMonitor:594885 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2024-09-16 19:48:01,133 DEBUG   SystemMonitor:594885 [system_monitor.py:_start():179] Finished system metrics aggregation loop
2024-09-16 19:48:01,133 DEBUG   SystemMonitor:594885 [system_monitor.py:_start():183] Publishing last batch of metrics
2024-09-16 19:48:01,133 INFO    HandlerThread:594885 [interfaces.py:finish():200] Joined cpu monitor
2024-09-16 19:48:01,134 INFO    HandlerThread:594885 [interfaces.py:finish():200] Joined disk monitor
2024-09-16 19:48:01,195 INFO    HandlerThread:594885 [interfaces.py:finish():200] Joined gpu monitor
2024-09-16 19:48:01,196 INFO    HandlerThread:594885 [interfaces.py:finish():200] Joined memory monitor
2024-09-16 19:48:01,196 INFO    HandlerThread:594885 [interfaces.py:finish():200] Joined network monitor
2024-09-16 19:48:01,196 DEBUG   SenderThread:594885 [sender.py:send_request():418] send_request: defer
2024-09-16 19:48:01,196 INFO    SenderThread:594885 [sender.py:send_request_defer():622] handle sender defer: 2
2024-09-16 19:48:01,196 INFO    SenderThread:594885 [sender.py:transition_state():626] send defer: 3
2024-09-16 19:48:01,196 DEBUG   SenderThread:594885 [sender.py:send():391] send: stats
2024-09-16 19:48:01,196 DEBUG   HandlerThread:594885 [handler.py:handle_request():158] handle_request: defer
2024-09-16 19:48:01,197 INFO    HandlerThread:594885 [handler.py:handle_request_defer():184] handle defer: 3
2024-09-16 19:48:01,197 DEBUG   SenderThread:594885 [sender.py:send_request():418] send_request: defer
2024-09-16 19:48:01,197 INFO    SenderThread:594885 [sender.py:send_request_defer():622] handle sender defer: 3
2024-09-16 19:48:01,197 INFO    SenderThread:594885 [sender.py:transition_state():626] send defer: 4
2024-09-16 19:48:01,197 DEBUG   HandlerThread:594885 [handler.py:handle_request():158] handle_request: defer
2024-09-16 19:48:01,197 INFO    HandlerThread:594885 [handler.py:handle_request_defer():184] handle defer: 4
2024-09-16 19:48:01,197 DEBUG   SenderThread:594885 [sender.py:send_request():418] send_request: defer
2024-09-16 19:48:01,197 INFO    SenderThread:594885 [sender.py:send_request_defer():622] handle sender defer: 4
2024-09-16 19:48:01,197 INFO    SenderThread:594885 [sender.py:transition_state():626] send defer: 5
2024-09-16 19:48:01,197 DEBUG   HandlerThread:594885 [handler.py:handle_request():158] handle_request: defer
2024-09-16 19:48:01,197 INFO    HandlerThread:594885 [handler.py:handle_request_defer():184] handle defer: 5
2024-09-16 19:48:01,197 DEBUG   SenderThread:594885 [sender.py:send():391] send: summary
2024-09-16 19:48:01,198 INFO    SenderThread:594885 [sender.py:_save_file():1466] saving file wandb-summary.json with policy end
2024-09-16 19:48:01,198 DEBUG   SenderThread:594885 [sender.py:send_request():418] send_request: defer
2024-09-16 19:48:01,198 INFO    SenderThread:594885 [sender.py:send_request_defer():622] handle sender defer: 5
2024-09-16 19:48:01,198 INFO    SenderThread:594885 [sender.py:transition_state():626] send defer: 6
2024-09-16 19:48:01,198 DEBUG   HandlerThread:594885 [handler.py:handle_request():158] handle_request: defer
2024-09-16 19:48:01,198 INFO    HandlerThread:594885 [handler.py:handle_request_defer():184] handle defer: 6
2024-09-16 19:48:01,198 DEBUG   SenderThread:594885 [sender.py:send_request():418] send_request: defer
2024-09-16 19:48:01,198 INFO    SenderThread:594885 [sender.py:send_request_defer():622] handle sender defer: 6
2024-09-16 19:48:01,200 DEBUG   HandlerThread:594885 [handler.py:handle_request():158] handle_request: status_report
2024-09-16 19:48:01,488 INFO    SenderThread:594885 [sender.py:transition_state():626] send defer: 7
2024-09-16 19:48:01,488 DEBUG   HandlerThread:594885 [handler.py:handle_request():158] handle_request: defer
2024-09-16 19:48:01,488 INFO    HandlerThread:594885 [handler.py:handle_request_defer():184] handle defer: 7
2024-09-16 19:48:01,488 DEBUG   SenderThread:594885 [sender.py:send_request():418] send_request: defer
2024-09-16 19:48:01,488 INFO    SenderThread:594885 [sender.py:send_request_defer():622] handle sender defer: 7
2024-09-16 19:48:01,572 INFO    wandb-upload_0:594885 [upload_job.py:push():130] Uploaded file /tmp/tmpz3pj0iu3wandb/xrbxc6hv-wandb-metadata.json
2024-09-16 19:48:01,642 INFO    Thread-12 :594885 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/lpc/Downloads/prototypical-networks/prototypical-networks/wandb/run-20240916_194759-rj9ju0ge/files/config.yaml
2024-09-16 19:48:01,642 INFO    Thread-12 :594885 [dir_watcher.py:_on_file_created():271] file/dir created: /home/lpc/Downloads/prototypical-networks/prototypical-networks/wandb/run-20240916_194759-rj9ju0ge/files/wandb-summary.json
2024-09-16 19:48:01,642 INFO    Thread-12 :594885 [dir_watcher.py:_on_file_created():271] file/dir created: /home/lpc/Downloads/prototypical-networks/prototypical-networks/wandb/run-20240916_194759-rj9ju0ge/files/wandb-metadata.json
2024-09-16 19:48:01,642 INFO    Thread-12 :594885 [dir_watcher.py:_on_file_created():271] file/dir created: /home/lpc/Downloads/prototypical-networks/prototypical-networks/wandb/run-20240916_194759-rj9ju0ge/files/output.log
2024-09-16 19:48:01,642 INFO    Thread-12 :594885 [dir_watcher.py:_on_file_created():271] file/dir created: /home/lpc/Downloads/prototypical-networks/prototypical-networks/wandb/run-20240916_194759-rj9ju0ge/files/requirements.txt
2024-09-16 19:48:01,772 DEBUG   HandlerThread:594885 [handler.py:handle_request():158] handle_request: poll_exit
2024-09-16 19:48:03,135 INFO    SenderThread:594885 [sender.py:transition_state():626] send defer: 8
2024-09-16 19:48:03,135 DEBUG   SenderThread:594885 [sender.py:send_request():418] send_request: poll_exit
2024-09-16 19:48:03,135 DEBUG   HandlerThread:594885 [handler.py:handle_request():158] handle_request: defer
2024-09-16 19:48:03,135 INFO    HandlerThread:594885 [handler.py:handle_request_defer():184] handle defer: 8
2024-09-16 19:48:03,135 DEBUG   SenderThread:594885 [sender.py:send_request():418] send_request: defer
2024-09-16 19:48:03,135 INFO    SenderThread:594885 [sender.py:send_request_defer():622] handle sender defer: 8
2024-09-16 19:48:03,135 INFO    SenderThread:594885 [job_builder.py:build():443] Attempting to build job artifact
2024-09-16 19:48:03,136 INFO    SenderThread:594885 [job_builder.py:_get_source_type():572] is repo sourced job
2024-09-16 19:48:03,148 INFO    SenderThread:594885 [job_builder.py:build():548] adding wandb-job metadata file
2024-09-16 19:48:03,150 INFO    SenderThread:594885 [sender.py:transition_state():626] send defer: 9
